bt_get_commits called! tips_len: 219, date_order: 1
Initial Ready: index: 1447, time: 1753800126, oid: BtOid { s0: 537905772, s1: 3689251876, s2: 3402910689, s3: 505820548, s4: 3416432819 }
Initial Ready: index: 1456, time: 1661117196, oid: BtOid { s0: 1287583276, s1: 883298458, s2: 3267220262, s3: 1923299571, s4: 735334207 }
Initial Ready: index: 1459, time: 1736254351, oid: BtOid { s0: 4183606029, s1: 4162557804, s2: 518317099, s3: 4227732401, s4: 1174782747 }
Initial Ready: index: 1461, time: 1669274181, oid: BtOid { s0: 1458373351, s1: 1850441056, s2: 812837750, s3: 654035427, s4: 2397665093 }
Initial Ready: index: 1483, time: 1713957436, oid: BtOid { s0: 2032249922, s1: 4003761464, s2: 35006339, s3: 2035555346, s4: 2796725159 }
Initial Ready: index: 1495, time: 1708727303, oid: BtOid { s0: 852319879, s1: 3329432487, s2: 1528589940, s3: 1764296869, s4: 3541825411 }
Initial Ready: index: 1497, time: 1732613211, oid: BtOid { s0: 2098882509, s1: 1531517376, s2: 1378422662, s3: 350299894, s4: 3165927937 }
Initial Ready: index: 1500, time: 1745093038, oid: BtOid { s0: 1081270061, s1: 745585991, s2: 3129813284, s3: 2084828217, s4: 3404495020 }
Initial Ready: index: 1524, time: 1661807094, oid: BtOid { s0: 1989462529, s1: 3769648533, s2: 3842725395, s3: 790785601, s4: 1924686466 }
Initial Ready: index: 1538, time: 1525381976, oid: BtOid { s0: 2180043531, s1: 4123552809, s2: 856771381, s3: 3354963793, s4: 3102900787 }
Initial Ready: index: 1542, time: 1725535319, oid: BtOid { s0: 943070729, s1: 3539210257, s2: 1772978096, s3: 3771699240, s4: 2492315736 }
Initial Ready: index: 1546, time: 1739187714, oid: BtOid { s0: 1605663161, s1: 2035853410, s2: 1924111794, s3: 22992341, s4: 4002455417 }
Initial Ready: index: 1553, time: 1681898008, oid: BtOid { s0: 4092499602, s1: 2013013352, s2: 1346430315, s3: 2339066489, s4: 3794726927 }
